"";"id";"raça";"idade";"ing_nat";"gênero";"mão_dom";"fonte";"país";"E1";"E2";"E3";"E4";"E5";"E6";"E7";"E8";"E9";"E10";"N1";"N2";"N3";"N4";"N5";"N6";"N7";"N8";"N9";"N10";"A1";"A2";"A3";"A4";"A5";"A6";"A7";"A8";"A9";"A10";"C1";"C2";"C3";"C4";"C5";"C6";"C7";"C8";"C9";"C10";"O1";"O2";"O3";"O4";"O5";"O6";"O7";"O8";"O9";"O10";"extr";"neur";"amab";"cons";"aber";"fluid";"wellb";"empa";"E";"N";"A";"C";"O"
"10197";"s10197";"Caucasiano (Europeu)";56;"Sim";"Masculino";"Direita";1;"GB";3;2;5;3;5;5;5;2;5;4;4;1;5;3;3;5;4;3;4;1;1;5;5;5;5;5;5;5;5;5;5;4;5;3;5;5;5;5;4;5;4;4;3;3;4;3;4;3;4;5;3,9;3,3;4,6;4,6;3,7;3,25648764857426;-1,69616426265397;2,46810158155583;18;13;21;22;17
"2168";"s2168";"Caucasiano (Europeu)";42;"Sim";"Feminino";"Direita";1;"GB";3;5;5;4;5;5;5;3;5;3;3;3;4;3;4;3;3;2;4;2;5;5;4;4;5;3;5;4;4;4;5;4;4;4;4;5;4;4;5;4;5;2;5;2;4;5;4;5;3;5;4,3;3,1;4,3;4,3;4;1,33864212636862;-1,32860456890433;1,35521824662671;21;16;22;20;19
"17081";"s17081";"Caucasiano (Europeu)";50;"Sim";"Masculino";"Direita";2;"US";4;4;5;5;5;5;5;5;5;5;3;4;4;3;2;2;3;1;3;1;5;4;4;4;3;2;4;4;2;5;4;5;5;4;4;5;4;5;4;4;5;5;3;4;4;3;4;4;3;4;4,8;2,6;3,7;4,4;3,9;2,73848904953873;-0,427629809656512;3,37140858159673;24;14;22;23;17
"10434";"s10434";"Outro";51;"Sim";"Feminino";"Direita";2;"US";3;3;4;3;3;4;3;3;4;2;3;3;3;5;4;3;3;3;3;2;1;5;5;5;5;1;5;5;5;4;5;5;4;5;5;5;5;4;5;1;1;3;3;4;3;4;3;2;2;3;3,2;3,2;4,1;4,4;2,8;-0,759776959034775;-2,85358079502321;2,92993212294812;16;17;20;19;16
"7743";"s7743";"Caucasiano (Europeu)";17;"Não";"Masculino";"Direita";1;"US";4;3;5;4;5;2;5;3;4;3;3;1;4;3;3;5;3;3;3;3;1;5;2;5;4;3;4;3;5;3;4;3;3;2;5;2;3;3;3;5;4;2;5;5;3;3;4;5;3;5;3,8;3,1;3,5;3,3;3,9;1,64623386580788;-4,89183498941889;0,969370982432626;15;14;14;16;20
"4626";"s4626";"Caucasiano (Europeu)";18;"Sim";"Feminino";"Direita";1;"US";2;2;2;2;2;2;2;1;1;2;4;4;5;5;3;4;3;3;4;4;2;2;2;3;2;2;2;3;3;2;4;4;4;3;3;5;4;3;3;3;4;4;4;3;4;4;4;3;4;4;1,8;3,9;2,3;3,6;3,8;1,92622367500434;-3,66790649487428;0,316767937259949;8;21;11;17;19
"10422";"s10422";"Caucasiano (Europeu)";21;"Sim";"Feminino";"Esquerda";5;"US";2;3;2;1;1;3;1;4;1;1;5;5;5;5;4;5;5;5;5;5;5;2;2;3;5;3;4;4;3;1;4;4;5;2;2;3;5;3;4;5;4;4;4;3;3;4;5;4;5;3;1,9;4,9;3,2;3,7;3,9;2,74297164144223;-1,32295614837423;2,12331304258594;12;24;14;19;21
"16419";"s16419";"Caucasiano (Europeu)";21;"Sim";"Feminino";"Esquerda";2;"US";4;5;5;5;5;5;5;5;5;5;4;4;5;4;2;4;3;2;2;3;5;5;5;5;5;5;5;5;5;5;3;1;2;1;1;1;2;2;4;2;4;5;5;5;5;5;5;5;5;5;4,9;3,3;5;1,9;4,9;3,06665894583874;-4,42970351051319;2,80374911913961;25;18;25;8;25
"17384";"s17384";"Caucasiano (Indiano)";25;"Não";"Feminino";"Direita";1;"IN";5;3;1;3;1;1;1;3;3;1;5;5;5;5;5;5;5;5;5;5;1;3;3;5;5;5;3;4;5;5;1;1;3;3;1;1;5;3;1;1;1;5;5;3;1;5;3;5;5;4;2,2;5;3,9;2;3,7;1,4751246359731;-4,38936158365028;1,30471163942878;11;25;16;11;21
"7065";"s7065";"Caucasiano (Europeu)";17;"Sim";"Masculino";"Direita";1;"US";4;3;3;4;3;4;4;3;2;3;4;3;3;4;3;2;2;2;2;2;4;3;4;3;4;3;4;3;3;3;3;2;3;4;2;3;3;3;2;4;3;4;4;4;3;4;3;3;4;4;3,3;2,7;3,4;2,9;3,6;1,38077671541608;-2,32044511552322;3,56581884885297;15;15;17;16;19
